Año,Trimestre,Provincia,Banda ancha fija,Dial up
2018,3,Santiago Del Estero,86,2.0
2018,3,Tierra Del Fuego,45,508.0
2018,3,Tucumán,171,31.0
2018,2,Buenos Aires,3,11.0
2018,2,Capital Federal,1,7.0
2018,2,Catamarca,34,11.0
2018,2,Chaco,99,12.0
2018,2,Chubut,98,2.0
2018,2,Córdoba,713,94.0
2018,2,Corrientes,98,11.0
2018,2,Entre Ríos,200,48.0
2018,2,Formosa,45,
2018,2,Jujuy,45,1.0
2018,2,La Pampa,82,244.0
2018,2,La Rioja,52,17.0
2018,2,Mendoza,199,1.0
2018,2,Misiones,106,
2018,2,Neuquén,114,2.0
2018,2,Río Negro,111,1.0
2018,2,Salta,134,1.0
2018,2,San Juan,63,658.0
2018,2,San Luis,21,300.0
2018,2,Santa Cruz,34,435.0
2018,2,Santa Fe,684,309.0
2018,2,Santiago Del Estero,84,2.0
2018,2,Tierra Del Fuego,44,508.0
2018,2,Tucumán,170,31.0
2018,1,Buenos Aires,3,11.0
2018,1,Capital Federal,1,7.0
2018,1,Catamarca,34,11.0
2018,1,Chaco,97,12.0
2018,1,Chubut,96,2.0
2018,1,Córdoba,714,101.0
2018,1,Corrientes,94,11.0
2018,1,Entre Ríos,197,48.0
2018,1,Formosa,32,0.0
2018,1,Jujuy,44,1.0
2018,1,La Pampa,83,396.0
2018,1,La Rioja,52,17.0
2018,1,Mendoza,199,1.0
2018,1,Misiones,104,0.0
2018,1,Neuquén,116,2.0
2018,1,Río Negro,110,1.0
2018,1,Salta,133,1.0
2018,1,San Juan,63,658.0
2018,1,San Luis,21,300.0
2018,1,Santa Cruz,34,435.0
2018,1,Santa Fe,680,309.0
2018,1,Santiago Del Estero,83,2.0
2018,1,Tierra Del Fuego,31,508.0
2018,1,Tucumán,168,31.0
2017,4,Buenos Aires,3,11.0
2017,4,Capital Federal,2,7.0
2017,4,Catamarca,30,10.0
2017,4,Chaco,97,12.0
2017,4,Chubut,91,2.0
2017,4,Córdoba,710,105.0
2017,4,Corrientes,94,11.0
2017,4,Entre Ríos,194,49.0
2017,4,Formosa,32,0.0
2017,4,Jujuy,44,1.0
2017,4,La Pampa,82,396.0
2017,4,La Rioja,52,17.0
2017,4,Mendoza,179,1.0
2017,4,Misiones,104,0.0
2017,4,Neuquén,115,2.0
2017,4,Río Negro,109,1.0
2017,4,Salta,133,1.0
2017,4,San Juan,58,659.0
2017,4,San Luis,15,300.0
2017,4,Santa Cruz,29,434.0
2017,4,Santa Fe,672,323.0
2017,4,Santiago Del Estero,69,2.0
2017,4,Tierra Del Fuego,28,508.0
2017,4,Tucumán,162,34.0
2017,3,Buenos Aires,3,11.0
2017,3,Capital Federal,2,7.0
2017,3,Catamarca,33,11.0
2017,3,Chaco,94,12.0
2017,3,Chubut,81,2.0
2017,3,Córdoba,697,108.0
2017,3,Corrientes,93,12.0
2017,3,Entre Ríos,185,50.0
2017,3,Formosa,32,0.0
2017,3,Jujuy,43,1.0
2017,3,La Pampa,79,410.0
2017,3,La Rioja,52,17.0
2017,3,Mendoza,191,2.0
2017,3,Misiones,100,0.0
2017,3,Neuquén,114,2.0
2017,3,Río Negro,106,1.0
2017,3,Salta,133,1.0
2017,3,San Juan,62,660.0
2017,3,San Luis,21,311.0
2017,3,Santa Cruz,33,468.0
2017,3,Santa Fe,662,256.0
2017,3,Santiago Del Estero,83,2.0
2017,3,Tierra Del Fuego,31,583.0
2017,3,Tucumán,161,33.0
2017,2,Buenos Aires,3,11.0
2017,2,Capital Federal,2,8.0
2017,2,Catamarca,27,13.0
2017,2,Chaco,91,14.0
2017,2,Chubut,62,2.0
2017,2,Córdoba,658,133.0
2017,2,Corrientes,90,12.0
2017,2,Entre Ríos,183,57.0
2017,2,Formosa,30,0.0
2017,2,Jujuy,43,1.0
2017,2,La Pampa,73,449.0
2017,2,La Rioja,16,18.0
2017,2,Mendoza,169,1.0
2017,2,Misiones,100,0.0
2017,2,Neuquén,115,2.0
2017,2,Río Negro,101,998.0
2017,2,Salta,109,1.0
2017,2,San Juan,51,620.0
2017,2,San Luis,13,315.0
2017,2,Santa Cruz,26,369.0
2017,2,Santa Fe,567,362.0
2017,2,Santiago Del Estero,33,2.0
2017,2,Tierra Del Fuego,32,619.0
2017,2,Tucumán,154,37.0
2017,1,Buenos Aires,3,11.0
2017,1,Capital Federal,1,8.0
2017,1,Catamarca,26,13.0
2017,1,Chaco,89,14.0
2017,1,Chubut,62,2.0
2017,1,Córdoba,641,133.0
2017,1,Corrientes,89,12.0
2017,1,Entre Ríos,180,57.0
2017,1,Formosa,30,0.0
2017,1,Jujuy,43,1.0
2017,1,La Pampa,71,455.0
2017,1,La Rioja,16,18.0
2017,1,Mendoza,169,1.0
2017,1,Misiones,98,0.0
2017,1,Neuquén,113,2.0
2017,1,Río Negro,100,1.0
2017,1,Salta,108,1.0
2017,1,San Juan,51,620.0
2017,1,San Luis,13,315.0
2017,1,Santa Cruz,26,370.0
2017,1,Santa Fe,563,362.0
2017,1,Santiago Del Estero,34,2.0
2017,1,Tierra Del Fuego,32,619.0
2017,1,Tucumán,153,37.0
2016,4,Buenos Aires,3,11.0
2016,4,Capital Federal,1,8.0
2016,4,Catamarca,27,13.0
2016,4,Chaco,89,14.0
2016,4,Chubut,62,2.0
2016,4,Córdoba,636,133.0
2016,4,Corrientes,88,12.0
2016,4,Entre Ríos,180,57.0
2016,4,Formosa,30,0.0
2016,4,Jujuy,43,1.0
2016,4,La Pampa,71,460.0
2016,4,La Rioja,16,18.0
2016,4,Mendoza,169,1.0
2016,4,Misiones,97,0.0
2016,4,Neuquén,112,2.0
2016,4,Río Negro,100,1.0
2016,4,Salta,107,1.0
2016,4,San Juan,51,620.0
2016,4,San Luis,13,315.0
2016,4,Santa Cruz,26,370.0
2016,4,Santa Fe,561,362.0
2016,4,Santiago Del Estero,35,2.0
2016,4,Tierra Del Fuego,32,619.0
2016,4,Tucumán,152,37.0
2016,3,Buenos Aires,3,11.0
2016,3,Capital Federal,1,8.0
2016,3,Catamarca,27,13.0
2016,3,Chaco,89,14.0
2016,3,Chubut,62,2.0
2016,3,Córdoba,642,133.0
2016,3,Corrientes,88,12.0
2016,3,Entre Ríos,181,57.0
2016,3,Formosa,28,0.0
2016,3,Jujuy,43,1.0
2016,3,La Pampa,70,461.0
2016,3,La Rioja,17,18.0
2016,3,Mendoza,169,1.0
2016,3,Misiones,98,0.0
2016,3,Neuquén,110,2.0
2016,3,Río Negro,100,1.0
2016,3,Salta,108,1.0
2016,3,San Juan,51,620.0
2016,3,San Luis,13,315.0
2016,3,Santa Cruz,26,371.0
2016,3,Santa Fe,567,386.0
2016,3,Santiago Del Estero,36,2.0
2016,3,Tierra Del Fuego,31,619.0
2016,3,Tucumán,151,37.0
2016,2,Buenos Aires,3,13.0
2016,2,Capital Federal,1,10.0
2016,2,Catamarca,27,13.0
2016,2,Chaco,88,16.0
2016,2,Chubut,62,2.0
2016,2,Córdoba,635,234.0
2016,2,Corrientes,87,24.0
2016,2,Entre Ríos,178,179.0
2016,2,Formosa,29,1.0
2016,2,Jujuy,41,2.0
2016,2,La Pampa,68,485.0
2016,2,La Rioja,17,18.0
2016,2,Mendoza,169,2.0
2016,2,Misiones,96,7.0
2016,2,Neuquén,108,2.0
2016,2,Río Negro,100,1.0
2016,2,Salta,105,3.0
2016,2,San Juan,51,621.0
2016,2,San Luis,13,317.0
2016,2,Santa Cruz,26,356.0
2016,2,Santa Fe,564,607.0
2016,2,Santiago Del Estero,37,3.0
2016,2,Tierra Del Fuego,31,619.0
2016,2,Tucumán,149,41.0
2016,1,Buenos Aires,3,13.0
2016,1,Capital Federal,1,10.0
2016,1,Catamarca,26,13.0
2016,1,Chaco,87,16.0
2016,1,Chubut,62,2.0
2016,1,Córdoba,610,234.0
2016,1,Corrientes,86,26.0
2016,1,Entre Ríos,175,179.0
2016,1,Formosa,28,1.0
2016,1,Jujuy,40,2.0
2016,1,La Pampa,65,487.0
2016,1,La Rioja,17,18.0
2016,1,Mendoza,169,2.0
2016,1,Misiones,93,7.0
2016,1,Neuquén,102,2.0
2016,1,Río Negro,99,1.0
2016,1,Salta,102,3.0
2016,1,San Juan,51,621.0
2016,1,San Luis,13,317.0
2016,1,Santa Cruz,26,356.0
2016,1,Santa Fe,551,618.0
2016,1,Santiago Del Estero,38,3.0
2016,1,Tierra Del Fuego,30,619.0
2016,1,Tucumán,147,41.0
2015,4,Buenos Aires,3,13.0
2015,4,Capital Federal,1,10.0
2015,4,Catamarca,26,13.0
2015,4,Chaco,87,16.0
2015,4,Chubut,62,2.0
2015,4,Córdoba,626,235.0
2015,4,Corrientes,85,26.0
2015,4,Entre Ríos,174,180.0
2015,4,Formosa,28,1.0
2015,4,Jujuy,40,2.0
2015,4,La Pampa,66,312.0
2015,4,La Rioja,17,18.0
2015,4,Mendoza,169,2.0
2015,4,Misiones,93,7.0
2015,4,Neuquén,105,2.0
2015,4,Río Negro,99,1.0
2015,4,Salta,102,3.0
2015,4,San Juan,51,621.0
2015,4,San Luis,13,317.0
2015,4,Santa Cruz,26,356.0
2015,4,Santa Fe,561,627.0
2015,4,Santiago Del Estero,39,3.0
2015,4,Tierra Del Fuego,29,619.0
2015,4,Tucumán,146,42.0
2015,3,Buenos Aires,3,13.0
2015,3,Capital Federal,1,10.0
2015,3,Catamarca,26,13.0
2015,3,Chaco,85,16.0
2015,3,Chubut,62,2.0
2015,3,Córdoba,623,237.0
2015,3,Corrientes,85,28.0
2015,3,Entre Ríos,172,182.0
2015,3,Formosa,28,1.0
2015,3,Jujuy,40,2.0
2015,3,La Pampa,65,495.0
2015,3,La Rioja,17,18.0
2015,3,Mendoza,169,2.0
2015,3,Misiones,92,7.0
2015,3,Neuquén,98,2.0
2015,3,Río Negro,99,1.0
2015,3,Salta,101,3.0
2015,3,San Juan,51,621.0
2015,3,San Luis,13,317.0
2015,3,Santa Cruz,26,359.0
2015,3,Santa Fe,556,641.0
2015,3,Santiago Del Estero,39,3.0
2015,3,Tierra Del Fuego,33,619.0
2015,3,Tucumán,144,42.0
2015,2,Buenos Aires,3,13.0
2015,2,Capital Federal,1,10.0
2015,2,Catamarca,26,13.0
2015,2,Chaco,84,16.0
2015,2,Chubut,62,2.0
2015,2,Córdoba,610,236.0
2015,2,Corrientes,83,28.0
2015,2,Entre Ríos,169,183.0
2015,2,Formosa,27,37.0
2015,2,Jujuy,38,2.0
2015,2,La Pampa,64,500.0
2015,2,La Rioja,16,18.0
2015,2,Mendoza,169,2.0
2015,2,Misiones,89,7.0
2015,2,Neuquén,96,2.0
2015,2,Río Negro,98,1.0
2015,2,Salta,98,3.0
2015,2,San Juan,51,621.0
2015,2,San Luis,13,317.0
2015,2,Santa Cruz,25,379.0
2015,2,Santa Fe,546,649.0
2015,2,Santiago Del Estero,39,3.0
2015,2,Tierra Del Fuego,33,619.0
2015,2,Tucumán,141,42.0
2015,1,Buenos Aires,3,15.0
2015,1,Capital Federal,1,12.0
2015,1,Catamarca,25,20.0
2015,1,Chaco,81,31.0
2015,1,Chubut,63,2.0
2015,1,Córdoba,597,294.0
2015,1,Corrientes,81,43.0
2015,1,Entre Ríos,166,231.0
2015,1,Formosa,27,43.0
2015,1,Jujuy,37,3.0
2015,1,La Pampa,62,542.0
2015,1,La Rioja,16,23.0
2015,1,Mendoza,168,2.0
2015,1,Misiones,85,7.0
2015,1,Neuquén,93,2.0
2015,1,Río Negro,96,1.0
2015,1,Salta,97,18.0
2015,1,San Juan,51,702.0
2015,1,San Luis,13,354.0
2015,1,Santa Cruz,26,424.0
2015,1,Santa Fe,536,797.0
2015,1,Santiago Del Estero,39,8.0
2015,1,Tierra Del Fuego,33,730.0
2015,1,Tucumán,138,92.0
2014,4,Buenos Aires,3,15.0
2014,4,Capital Federal,1,12.0
2014,4,Catamarca,25,21.0
2014,4,Chaco,66,37.0
2014,4,Chubut,67,2.0
2014,4,Córdoba,590,319.0
2014,4,Corrientes,66,54.0
2014,4,Entre Ríos,141,246.0
2014,4,Formosa,26,51.0
2014,4,Jujuy,36,3.0
2014,4,La Pampa,57,567.0
2014,4,La Rioja,16,23.0
2014,4,Mendoza,168,2.0
2014,4,Misiones,77,7.0
2014,4,Neuquén,93,2.0
2014,4,Río Negro,95,1.0
2014,4,Salta,94,26.0
2014,4,San Juan,51,729.0
2014,4,San Luis,13,359.0
2014,4,Santa Cruz,25,436.0
2014,4,Santa Fe,528,938.0
2014,4,Santiago Del Estero,39,9.0
2014,4,Tierra Del Fuego,28,741.0
2014,4,Tucumán,137,95.0
2014,3,Buenos Aires,3,14.0
2014,3,Capital Federal,1,11.0
2014,3,Catamarca,25,21.0
2014,3,Chaco,64,36.0
2014,3,Chubut,67,2.0
2014,3,Córdoba,585,200.0
2014,3,Corrientes,64,33.0
2014,3,Entre Ríos,137,115.0
2014,3,Formosa,26,64.0
2014,3,Jujuy,34,2.0
2014,3,La Pampa,62,564.0
2014,3,La Rioja,16,23.0
2014,3,Mendoza,166,2.0
2014,3,Misiones,75,0.0
2014,3,Neuquén,100,2.0
2014,3,Río Negro,97,1.0
2014,3,Salta,93,25.0
2014,3,San Juan,51,748.0
2014,3,San Luis,13,363.0
2014,3,Santa Cruz,26,446.0
2014,3,Santa Fe,520,691.0
2014,3,Santiago Del Estero,38,9.0
2014,3,Tierra Del Fuego,28,755.0
2014,3,Tucumán,132,88.0
2014,2,Buenos Aires,3,14.0
2014,2,Capital Federal,1,11.0
2014,2,Catamarca,25,23.0
2014,2,Chaco,63,36.0
2014,2,Chubut,69,2.0
2014,2,Córdoba,577,205.0
2014,2,Corrientes,63,33.0
2014,2,Entre Ríos,135,115.0
2014,2,Formosa,26,65.0
2014,2,Jujuy,34,2.0
2014,2,La Pampa,55,580.0
2014,2,La Rioja,16,23.0
2014,2,Mendoza,165,2.0
2014,2,Misiones,75,0.0
2014,2,Neuquén,90,2.0
2014,2,Río Negro,95,1.0
2014,2,Salta,92,25.0
2014,2,San Juan,51,755.0
2014,2,San Luis,13,364.0
2014,2,Santa Cruz,27,459.0
2014,2,Santa Fe,512,605.0
2014,2,Santiago Del Estero,38,9.0
2014,2,Tierra Del Fuego,27,766.0
2014,2,Tucumán,132,88.0
2014,1,Buenos Aires,3,14.0
2014,1,Capital Federal,1,11.0
2014,1,Catamarca,24,23.0
2014,1,Chaco,63,36.0
2014,1,Chubut,68,2.0
2014,1,Córdoba,567,205.0
2014,1,Corrientes,62,33.0
2014,1,Entre Ríos,134,115.0
2014,1,Formosa,25,87.0
2014,1,Jujuy,34,2.0
2014,1,La Pampa,54,592.0
2014,1,La Rioja,16,23.0
2014,1,Mendoza,164,2.0
2014,1,Misiones,74,0.0
2014,1,Neuquén,88,2.0
2014,1,Río Negro,94,1.0
2014,1,Salta,91,25.0
2014,1,San Juan,51,755.0
2014,1,San Luis,12,364.0
2014,1,Santa Cruz,26,460.0
2014,1,Santa Fe,506,612.0
2014,1,Santiago Del Estero,37,9.0
2014,1,Tierra Del Fuego,27,766.0
2014,1,Tucumán,130,88.0
