Año,Trimestre,Provincia,512kbps,512kbps-1mbps,1mbps-6mbps,6mbps-10mbps,10mbps-20mbps,20mbps-30mbps,30mbps,Mbps
2022,4,Buenos Aires,28.934,23.347,259.866,281.55,244.555,98.67,3.760.109,111.0
2022,4,Capital Federal,516.0,5.096,31.320,64.653,36.336,8.116,1.299.117,18.286
2022,4,Catamarca,71.0,315.0,2.716,5.028,4.638,3.122,52.739,8.333
2022,4,Chaco,461.0,771.0,16.067,17.846,6.704,3.039,94.866,10.402
2022,4,Chubut,109.0,1.614,46.457,31.007,34.728,15.77,19.048,1.592
2022,4,Córdoba,99.0,9.929,143.686,108.195,63.12,20.691,686.330,10.877
2022,4,Corrientes,67.0,3.282,22.647,24.858,7.025,3.77,85.806,9.472
2022,4,Entre Ríos,107.0,4.722,45.629,46.7,20.927,22.483,130.406,8.747
2022,4,Formosa,84.0,245.0,22.458,12.391,6.724,310.0,18.930,7.203
2022,4,Jujuy,58.0,1.763,18.652,14.07,36.43,335.0,46.910,3.932
2022,4,La Pampa,68.0,1.687,52.618,10.334,9.167,4.479,19.783,191.0
2022,4,La Rioja,18.0,595.0,2.531,3.01,24.435,5.029,50.644,61.0
2022,4,Mendoza,103.0,2.954,35.541,20.355,35.935,14.909,161.163,3.876
2022,4,Misiones,51.0,3.51,35.622,21.373,12.196,3.182,101.745,9.124
2022,4,Neuquén,168.0,994.0,38.814,13.96,13.008,5.739,85.247,9.537
2022,4,Río Negro,111.0,1.081,32.053,13.931,20.442,7.335,57.495,7.531
2022,4,Salta,114.0,1.197,31.530,71.105,5.036,117.0,90.014,7.593
2022,4,San Juan,24.0,2.027,30.069,11.247,20.44,8.188,19.991,1.639
2022,4,San Luis,60.0,624.0,11.785,24.684,13.981,78.506,2.227,3.067
2022,4,Santa Cruz,51.0,6.81,11.616,11.509,10.374,3.236,5.559,1.433
2022,4,Santa Fe,468.0,9.374,115.767,194.42,73.345,22.899,453.078,903.0
2022,4,Santiago Del Estero,178.0,1.267,26.183,58.136,17.735,661.0,14.345,344.0
2022,4,Tierra Del Fuego,22.0,902.0,11.649,13.634,21.365,3.612,1.812,1.348
2022,4,Tucumán,39.0,1.562,29.996,35.425,26.369,1.375,153.538,8.833
2022,3,Buenos Aires,29.985,27.709,290.315,297.915,267.044,124.19,3.618.689,7.019
2022,3,Capital Federal,517.0,5.742,34.371,67.829,51.946,28.692,1.253.105,10.105
2022,3,Catamarca,71.0,384.0,3.107,5.389,5.099,3.737,50.298,6.099
2022,3,Chaco,461.0,987.0,16.782,18.938,8.049,15.828,79.390,5.321
2022,3,Chubut,109.0,1.444,45.707,30.94,34.682,15.309,17.563,1.557
2022,3,Córdoba,99.0,11.312,153.324,111.615,70.989,27.112,650.344,5.632
2022,3,Corrientes,67.0,3.865,23.427,23.948,7.776,21.706,56.950,4.507
2022,3,Entre Ríos,107.0,5.549,47.210,46.855,18.263,32.021,102.195,4.249
2022,3,Formosa,97.0,307.0,23.538,19.545,6.194,564.0,17.704,3.035
2022,3,Jujuy,58.0,1.879,19.135,15.254,36.083,519.0,45.895,3.243
2022,3,La Pampa,68.0,1.887,61.540,9.653,11.592,5.609,22.731,1.81
2022,3,La Rioja,18.0,689.0,2.842,3.375,24.219,5.331,50.390,4.43
2022,3,Mendoza,103.0,2.953,44.232,21.977,48.201,17.243,150.043,3.416
2022,3,Misiones,51.0,3.749,36.628,20.758,12.676,19.615,80.330,4.93
2022,3,Neuquén,134.0,991.0,38.485,14.08,9.2,6.7,78.713,4.781
2022,3,Río Negro,111.0,1.221,32.936,17.86,27.934,13.629,42.596,3.413
2022,3,Salta,114.0,1.49,32.923,71.199,5.662,1.001,85.661,4.133
2022,3,San Juan,24.0,2.027,30.324,11.247,22.157,6.78,19.221,1.584
2022,3,San Luis,60.0,307.0,6.563,20.813,12.061,67.438,13,1.933
2022,3,Santa Cruz,52.0,6.841,12.342,11.313,11.378,2.333,4.604,1.26
2022,3,Santa Fe,468.0,11.132,132.709,198.588,70.897,57.455,396.352,4.515
2022,3,Santiago Del Estero,178.0,1.384,28.357,58.982,16.087,910.0,12.342,1.769
2022,3,Tierra Del Fuego,22.0,831.0,12.002,14.815,20.102,1.752,1.021,1.101
2022,3,Tucumán,39.0,2.047,32.571,39.018,25.214,4.348,159.600,5.336
2022,2,Buenos Aires,30.639,28.323,295.238,307.554,273.954,129.869,3.535.757,655.0
2022,2,Capital Federal,517.0,5.98,36.036,72.434,55.372,31.571,1.229.254,9.397
2022,2,Catamarca,71.0,413.0,3.678,6.155,7.165,3.393,43.926,5.656
2022,2,Chaco,461.0,1.047,17.603,20.109,8.391,15.974,76.271,5.061
2022,2,Chubut,109.0,1.444,45.804,31.217,34.29,14.526,15.394,1.491
2022,2,Córdoba,99.0,11.971,160.486,120.485,71.923,28.645,619.400,5.351
2022,2,Corrientes,67.0,3.937,24.253,24.842,8.001,21.719,55.071,4.331
2022,2,Entre Ríos,107.0,5.656,48.637,48.557,18.512,32.355,98.769,4.003
2022,2,Formosa,97.0,407.0,23.834,19.706,6.33,591.0,16.326,2.847
2022,2,Jujuy,58.0,1.829,19.458,15.79,37.786,549.0,37.391,2.939
2022,2,La Pampa,68.0,1.887,62.546,9.842,11.8,5.247,17.125,1.607
2022,2,La Rioja,18.0,728.0,3.179,3.89,23.814,5.481,48.920,4.328
2022,2,Mendoza,103.0,2.954,44.961,22.557,64.138,19.543,121.366,2.972
2022,2,Misiones,51.0,3.808,37.254,21.712,12.774,19.757,75.107,4.623
2022,2,Neuquén,134.0,999.0,38.826,15.066,9.205,2.039,76.982,4.653
2022,2,Río Negro,111.0,1.227,33.364,17.938,27.168,13.714,41.972,3.326
2022,2,Salta,114.0,1.53,33.732,72.661,6.012,1.156,81.478,3.877
2022,2,San Juan,24.0,2.027,30.385,11.276,24.649,3.728,16.701,1.444
2022,2,San Luis,60.0,306.0,6.840,21.217,11.052,67.438,13,1.932
2022,2,Santa Cruz,52.0,6.841,12.348,11.369,11.885,2.454,3.592,1.181
2022,2,Santa Fe,468.0,11.757,138.534,204.381,74.133,58.114,373.888,4.201
2022,2,Santiago Del Estero,178.0,1.401,29.581,59.931,14.606,883.0,10.672,1.634
2022,2,Tierra Del Fuego,22.0,831.0,12.052,14.828,19.968,1.712,1.006,1.097
2022,2,Tucumán,39.0,2.195,34.461,43.513,23.634,4.863,145.541,5.009
2022,1,Buenos Aires,31.591,30.056,313.382,321.756,290.127,161.183,3.381.049,6.251
2022,1,Capital Federal,527.0,5.575,39.918,77.39,61.053,43.289,1.188.072,8.822
2022,1,Catamarca,71.0,456.0,4.386,7.009,8.773,3.761,35.715,5.122
2022,1,Chaco,461.0,1.099,16.888,21.235,20.898,13.012,62.946,4.584
2022,1,Chubut,113.0,1.677,61.369,31.856,33.08,13.871,14.055,1.34
2022,1,Córdoba,100.0,12.782,165.922,126.009,73.967,34.892,577.027,4.989
2022,1,Corrientes,67.0,4.029,24.563,25.665,27.077,10.452,43.631,3.811
2022,1,Entre Ríos,107.0,5.745,50.075,49.62,42.294,21.578,81.757,3.559
2022,1,Formosa,97.0,448.0,24.113,6.945,6.613,716.0,15.028,3.028
2022,1,Jujuy,58.0,1.761,22.141,16.321,37.923,576.0,35.287,2.769
2022,1,La Pampa,301.0,2.223,62.812,9.869,12.044,5.25,14.400,1.484
2022,1,La Rioja,18.0,778.0,3.576,4.692,23.624,5.645,45.970,4.137
2022,1,Mendoza,114.0,3.355,51.230,26.407,74.178,21.566,95.048,2.62
2022,1,Misiones,51.0,3.873,35.655,22.261,26.855,15.854,58.610,4.187
2022,1,Neuquén,137.0,1.123,39.856,15.623,11.163,2.654,71.238,4.305
2022,1,Río Negro,116.0,1.383,35.565,18.859,26.926,14.144,37.729,3.109
2022,1,Salta,114.0,1.725,35.576,68.246,6.313,2.214,76.838,3.671
2022,1,San Juan,26.0,2.269,32.356,11.914,25.144,2.088,11.916,1.199
2022,1,San Luis,61.0,643.0,8.287,3.837,9.802,68.612,13,2.095
2022,1,Santa Cruz,51.0,6.898,12.710,11.502,12.277,2.628,2.551,1.089
2022,1,Santa Fe,468.0,12.435,143.796,208.361,84.787,58.018,344.170,3.889
2022,1,Santiago Del Estero,178.0,1.401,30.220,61.17,13.542,849.0,8.309,1.45
2022,1,Tierra Del Fuego,24.0,894.0,12.849,15.64,18.034,1.767,982,1.073
2022,1,Tucumán,39.0,2.212,36.028,46.961,21.014,5.211,133.846,4.724
2021,4,Buenos Aires,37.821,11.026,352.950,331.292,297.296,196.021,3.259.793,6.021
2021,4,Capital Federal,563.0,1.695,47.133,81.899,66.135,66.755,1.147.939,8.295
2021,4,Catamarca,71.0,0.0,6.038,7.855,9.804,3.262,29.827,4.638
2021,4,Chaco,461.0,112.0,18.845,22.678,21.937,13.692,58.435,4.234
2021,4,Chubut,126.0,1.294,63.698,39.568,31.175,5.78,2.904,908.0
2021,4,Córdoba,100.0,2.479,184.548,130.892,76.246,41.198,538.700,4.636
2021,4,Corrientes,67.0,645.0,28.830,26.368,22.922,10.087,39.911,3.577
2021,4,Entre Ríos,107.0,3.024,56.043,49.636,38.295,24.068,77.290,3.332
2021,4,Formosa,84.0,0.0,22.908,6.983,6.811,1.135,13.775,2.876
2021,4,Jujuy,58.0,175.0,22.446,16.793,38.134,564.0,33.421,2.714
2021,4,La Pampa,301.0,493.0,64.840,9.082,12.259,4.821,12.184,1.385
2021,4,La Rioja,18.0,1.0,5.018,5.437,23.559,5.671,43.424,3.97
2021,4,Mendoza,156.0,1.463,66.428,30.308,75.214,18.621,75.031,2.223
2021,4,Misiones,51.0,5.0,41.916,23.554,26.721,15.954,54.596,3.89
2021,4,Neuquén,140.0,940.0,42.313,13.264,10.515,3.31,69.217,4.009
2021,4,Río Negro,156.0,1.174,38.373,19.878,31.255,4.13,36.142,2.72
2021,4,Salta,114.0,20.0,40.673,69.324,6.642,3.535,72.622,3.394
2021,4,San Juan,44.0,1.442,28.906,10.955,23.978,398.0,9.800,1.105
2021,4,San Luis,62.0,264.0,8.550,4.276,9.107,67.363,9,2.091
2021,4,Santa Cruz,52.0,297.0,20.305,11.641,13.054,1.77,876,899.0
2021,4,Santa Fe,467.0,581.0,169.706,206.856,85.69,62.349,322.015,3.602
2021,4,Santiago Del Estero,178.0,909.0,31.915,61.524,12.205,800.0,7.537,1.384
2021,4,Tierra Del Fuego,26.0,385.0,13.505,16.534,16.562,1.748,1.017,1.07
2021,4,Tucumán,39.0,97.0,37.321,48.736,21.023,5.326,125.857,4.515
2021,3,Buenos Aires,37.193,31.149,1.108.940,248.153,141.383,192.797,2.482.266,5.626
2021,3,Capital Federal,295.0,603.0,156.978,67.013,39.785,73.502,1.075.229,7.771
2021,3,Catamarca,71.0,0.0,6.755,8.428,10.517,1.659,26.618,4.343
2021,3,Chaco,301.0,112.0,22.545,20.986,23.852,14.412,49.705,3.911
2021,3,Chubut,104.0,105.0,89.168,26.281,18.538,5.32,1.643,818.0
2021,3,Córdoba,99.0,2.452,204.989,141.285,65.05,47.198,476.459,4.193
2021,3,Corrientes,67.0,645.0,29.629,28.478,24.792,9.687,35.468,3.217
2021,3,Entre Ríos,107.0,3.024,61.354,59.776,39.114,16.284,67.961,2.96
2021,3,Formosa,381.0,0.0,22.778,7.142,6.978,1.192,12.707,2.669
2021,3,Jujuy,48.0,175.0,23.884,16.417,37.755,561.0,29.917,2.598
2021,3,La Pampa,298.0,313.0,65.063,7.395,8.737,4.023,10.506,1.299
2021,3,La Rioja,18.0,1.0,5.366,5.979,23.315,4.868,42.613,3.887
2021,3,Mendoza,36.0,31.0,151.871,12.64,62.628,7.596,21.087,1.337
2021,3,Misiones,51.0,5.0,41.932,25.099,26.079,14.792,42.291,3.088
2021,3,Neuquén,112.0,327.0,57.441,8.566,6.234,3.631,57.919,3.834
2021,3,Río Negro,125.0,557.0,68.991,3.73,14.88,2.282,34.011,2.54
2021,3,Salta,101.0,20.0,41.431,70.104,6.962,3.878,67.010,3.121
2021,3,San Juan,18.0,333.0,59.873,752.0,13.25,338.0,278,704.0
2021,3,San Luis,60.0,0.0,11.552,2.405,6.491,67.942,22,2.17
2021,3,Santa Cruz,50.0,0.0,30.561,8.365,6.799,1.788,678,769.0
2021,3,Santa Fe,467.0,579.0,193.207,201.25,83.941,55.08,290.793,3.313
2021,3,Santiago Del Estero,123.0,909.0,32.752,61.838,11.274,801.0,6.863,1.335
2021,3,Tierra Del Fuego,17.0,0.0,23.723,13.397,9.782,1.433,976,952.0
2021,3,Tucumán,32.0,97.0,39.446,50.293,21.986,5.3,115.154,4.21
2021,2,Buenos Aires,37.192,31.178,1.096.049,244.001,140.322,236.897,2.337.604,5.276
2021,2,Capital Federal,294.0,603.0,157.558,73.568,43.859,86.655,1.037.752,7.275
2021,2,Catamarca,71.0,0.0,7.219,9.091,6.828,4.941,25.388,4.219
2021,2,Chaco,301.0,112.0,23.444,21.574,24.032,16.069,47.239,3.74
2021,2,Chubut,104.0,105.0,89.639,22.605,16.604,3.896,1.112,768.0
2021,2,Córdoba,99.0,2.452,201.757,136.516,66.95,70.824,442.357,3.959
2021,2,Corrientes,67.0,645.0,29.419,27.037,24.524,10.059,32.697,3.037
2021,2,Entre Ríos,107.0,3.024,63.518,55.349,39.468,18.484,61.605,2.762
2021,2,Formosa,381.0,0.0,22.364,7.31,7.46,1.341,11.077,2.397
2021,2,Jujuy,48.0,175.0,24.182,16.577,37.908,607.0,29.950,2.581
2021,2,La Pampa,298.0,554.0,64.146,7.769,8.128,3.399,9.311,1.228
2021,2,La Rioja,18.0,1.0,5.312,5.971,23.298,4.825,42.158,3.853
2021,2,Mendoza,36.0,31.0,137.462,10.886,56.117,4.403,20.686,1.347
2021,2,Misiones,51.0,5.0,41.643,25.907,25.811,16.172,38.308,2.868
2021,2,Neuquén,112.0,327.0,57.713,8.631,5.871,5.943,54.008,3.611
2021,2,Río Negro,125.0,557.0,69.356,3.663,15.019,3.867,31.488,2.375
2021,2,Salta,101.0,20.0,42.543,67.012,7.099,9.654,58.882,2.924
2021,2,San Juan,18.0,333.0,59.989,784.0,12.55,340.0,278,699.0
2021,2,San Luis,60.0,0.0,11.752,2.703,5.418,65.946,22,2.166
2021,2,Santa Cruz,50.0,0.0,30.595,8.463,6.888,1.575,676,763.0
2021,2,Santa Fe,467.0,896.0,202.018,204.077,80.452,75.195,262.124,3.07
2021,2,Santiago Del Estero,123.0,909.0,32.034,62.224,10.359,811.0,6.064,1.272
2021,2,Tierra Del Fuego,17.0,0.0,21.335,6.913,4.58,476.0,889,859.0
2021,2,Tucumán,32.0,97.0,40.224,51.648,23.732,5.022,109.616,4.031
2021,1,Buenos Aires,36.939,31.187,1.108.368,240.52,163.747,222.061,2.246.313,5.079
2021,1,Capital Federal,135.0,244.0,159.662,76.753,56.457,83.255,1.003.041,6.829
2021,1,Catamarca,71.0,0.0,7.423,8.455,10.115,712.0,22.996,3.997
2021,1,Chaco,301.0,112.0,24.357,22.102,27.556,14.496,42.462,3.363
2021,1,Chubut,106.0,109.0,86.986,21.401,15.392,2.844,1.112,753.0
2021,1,Córdoba,93.0,2.386,211.799,135.092,74.659,71.984,402.191,3.617
2021,1,Corrientes,67.0,527.0,31.544,26.223,26.169,9.001,27.641,2.599
2021,1,Entre Ríos,105.0,2.911,67.255,56.06,42.432,15.774,54.600,2.387
2021,1,Formosa,56.0,0.0,22.409,7.569,7.916,1.215,9.579,2.098
2021,1,Jujuy,49.0,175.0,23.735,17.293,40.649,568.0,25.609,2.678
2021,1,La Pampa,298.0,554.0,68.200,7.864,7.611,2.786,7.368,1.073
2021,1,La Rioja,18.0,1.0,36.749,5.968,4.604,215.0,5.074,1.27
2021,1,Mendoza,28.0,40.0,134.386,11.216,52.533,4.061,16.615,1.26
2021,1,Misiones,51.0,524.0,40.949,25.503,27.101,14.05,32.953,2.508
2021,1,Neuquén,116.0,327.0,56.171,8.443,5.903,5.677,50.840,3.424
2021,1,Río Negro,125.0,466.0,70.011,4.187,13.045,3.642,29.589,2.192
2021,1,Salta,109.0,20.0,40.785,68.149,9.164,8.139,54.889,2.732
2021,1,San Juan,25.0,194.0,60.439,858.0,11.494,340.0,276,691.0
2021,1,San Luis,58.0,0.0,11.889,2.926,4.429,62.913,22,2.159
2021,1,Santa Cruz,50.0,0.0,30.655,8.334,6.987,1.337,647,750.0
2021,1,Santa Fe,518.0,891.0,201.632,204.458,91.846,65.476,236.924,2.813
2021,1,Santiago Del Estero,123.0,909.0,33.884,58.464,8.549,700.0,4.868,1.158
2021,1,Tierra Del Fuego,17.0,0.0,21.379,1.468,4.317,486.0,919,873.0
2021,1,Tucumán,29.0,97.0,42.810,53.416,25.255,4.188,103.437,3.798
2020,4,Buenos Aires,36.939,31.197,1.109.865,242.243,214.171,213.588,2.176.242,5.001
2020,4,Capital Federal,135.0,244.0,160.210,78.123,60.208,80.269,1.000.073,6.733
2020,4,Catamarca,71.0,0.0,8.843,8.74,11.436,591.0,20.406,3.765
2020,4,Chaco,301.0,112.0,24.782,22.479,26.802,15.701,40.949,3.245
2020,4,Chubut,106.0,109.0,88.157,21.824,12.046,2.818,1.112,738.0
2020,4,Córdoba,119.0,2.386,214.963,135.262,82.221,70.013,384.169,3.512
2020,4,Corrientes,67.0,527.0,31.900,26.321,25.687,9.383,26.789,2.545
2020,4,Entre Ríos,105.0,2.911,65.659,53.556,40.755,16.6,53.141,2.405
2020,4,Formosa,56.0,0.0,23.540,7.606,7.181,1.197,8.946,1.97
2020,4,Jujuy,49.0,182.0,23.772,14.379,44.93,446.0,19.282,2.521
2020,4,La Pampa,298.0,554.0,70.184,8.124,6.562,2.396,6.257,988.0
2020,4,La Rioja,18.0,1.0,36.906,6.06,4.633,181.0,4.979,1.253
2020,4,Mendoza,28.0,40.0,146.312,11.172,40.396,3.378,11.557,1.109
2020,4,Misiones,51.0,524.0,39.988,26.078,26.445,14.81,32.264,2.496
2020,4,Neuquén,116.0,327.0,56.434,8.478,5.791,5.493,50.776,3.391
2020,4,Río Negro,125.0,466.0,70.305,4.153,13.131,3.512,29.372,2.164
2020,4,Salta,109.0,514.0,41.443,68.829,15.188,8.291,46.697,2.532
2020,4,San Juan,25.0,194.0,61.316,740.0,5.126,332.0,275,641.0
2020,4,San Luis,58.0,0.0,14.020,3.49,2.688,62.239,22,2.125
2020,4,Santa Cruz,47.0,0.0,27.173,4.382,6.634,1.033,647,749.0
2020,4,Santa Fe,518.0,891.0,206.372,203.793,94.246,65.145,226.246,2.729
2020,4,Santiago Del Estero,123.0,909.0,34.518,57.59,4.666,411.0,4.520,1.128
2020,4,Tierra Del Fuego,17.0,0.0,21.881,6.119,3.497,488.0,922,849.0
2020,4,Tucumán,29.0,97.0,44.095,54.334,32.155,4.105,93.594,3.644
2020,3,Buenos Aires,37.542,31.514,1.113.823,234.71,219.772,194.248,2.085.815,4.838
2020,3,Capital Federal,264.0,312.0,162.222,85.083,68.753,78.028,977.766,6.381
2020,3,Catamarca,63.0,0.0,8.276,8.768,11.195,562.0,18.886,3.654
2020,3,Chaco,308.0,112.0,24.675,21.639,27.546,13.751,38.729,3.08
2020,3,Chubut,158.0,109.0,87.559,22.114,12.217,2.818,1.110,740.0
2020,3,Córdoba,168.0,3.064,218.599,124.833,84.236,63.823,361.021,3.351
2020,3,Corrientes,72.0,527.0,35.190,23.315,25.308,8.615,25.344,2.385
2020,3,Entre Ríos,130.0,2.911,66.648,51.478,40.797,14.377,49.395,2.243
2020,3,Formosa,391.0,151.0,23.163,7.432,7.125,991.0,8.219,1.828
2020,3,Jujuy,55.0,182.0,32.131,10.566,45.198,293.0,15.238,2.191
2020,3,La Pampa,293.0,810.0,66.695,7.82,5.577,2.189,6.322,1.07
2020,3,La Rioja,21.0,1.0,37.105,5.955,4.66,124.0,4.748,1.219
2020,3,Mendoza,58.0,40.0,141.404,12.123,42.433,3.448,8.237,1.019
2020,3,Misiones,71.0,524.0,39.005,24.215,25.942,13.663,30.987,2.414
2020,3,Neuquén,218.0,327.0,60.463,6.561,5.975,5.449,49.439,3.146
2020,3,Río Negro,114.0,466.0,68.986,3.769,7.096,3.455,28.488,2.108
2020,3,Salta,129.0,514.0,32.780,64.736,15.99,7.928,43.773,2.526
2020,3,San Juan,48.0,194.0,65.526,711.0,6.529,41.0,128,603.0
2020,3,San Luis,105.0,0.0,12.199,3.351,2.666,61.319,8,2.085
2020,3,Santa Cruz,66.0,0.0,26.888,4.015,6.73,629.0,120,665.0
2020,3,Santa Fe,568.0,1.241,213.353,199.381,92.095,58.797,210.562,2.569
2020,3,Santiago Del Estero,133.0,909.0,33.287,57.418,4.658,292.0,3.994,1.088
2020,3,Tierra Del Fuego,11.0,0.0,22.094,5.414,3.726,481.0,937,851.0
2020,3,Tucumán,52.0,97.0,45.913,54.61,33.126,3.246,84.195,3.484
2020,2,Buenos Aires,37.542,31.606,1.129.236,241.336,233.132,188.995,1.894.466,4.566
2020,2,Capital Federal,264.0,312.0,166.474,94.585,79.858,80.16,935.481,6.048
2020,2,Catamarca,63.0,0.0,8.801,8.69,10.242,426.0,16.578,3.493
2020,2,Chaco,308.0,928.0,24.350,21.14,29.044,12.082,33.311,2.795
2020,2,Chubut,158.0,109.0,69.578,22.188,10.537,1.473,614,761.0
2020,2,Córdoba,168.0,4.383,219.025,125.932,89.53,63.216,325.243,3.099
2020,2,Corrientes,72.0,527.0,34.242,22.845,25.844,7.898,22.418,2.215
2020,2,Entre Ríos,130.0,3.679,66.758,50.64,42.09,12.856,43.391,2.045
2020,2,Formosa,391.0,151.0,23.534,7.109,6.998,961.0,7.475,1.687
2020,2,Jujuy,55.0,182.0,30.548,10.519,26.829,209.0,9.417,1.586
2020,2,La Pampa,293.0,810.0,71.218,7.531,3.8,1.657,3.377,803.0
2020,2,La Rioja,21.0,1.0,37.375,5.661,4.686,73.0,4.336,1.167
2020,2,Mendoza,58.0,40.0,142.253,12.439,35.274,3.248,5.422,927.0
2020,2,Misiones,71.0,524.0,39.867,23.719,26.445,12.305,28.763,2.256
2020,2,Neuquén,218.0,327.0,61.171,6.103,6.625,5.296,46.432,2.91
2020,2,Río Negro,114.0,466.0,70.817,3.335,7.498,3.246,26.953,1.968
2020,2,Salta,129.0,514.0,41.801,64.463,16.989,7.741,39.594,2.256
2020,2,San Juan,48.0,194.0,59.113,917.0,4.908,40.0,127,631.0
2020,2,San Luis,105.0,0.0,11.439,3.585,1.934,60.889,8,2.102
2020,2,Santa Cruz,66.0,0.0,26.938,4.166,6.541,546.0,119,659.0
2020,2,Santa Fe,568.0,2.061,213.054,198.772,96.575,57.236,189.473,2.393
2020,2,Santiago Del Estero,133.0,1.779,32.557,57.709,5.178,247.0,3.328,1.041
2020,2,Tierra Del Fuego,11.0,0.0,22.325,5.186,3.034,391.0,796,813.0
2020,2,Tucumán,52.0,97.0,49.028,54.537,34.184,2.246,74.377,3.27
2020,1,Buenos Aires,38.215,36.802,1.122.034,236.421,247.977,205.78,1.802.583,4.518
2020,1,Capital Federal,264.0,312.0,169.651,102.254,89.665,85.899,906.009,5.871
2020,1,Catamarca,63.0,0.0,8.838,7.543,9.558,408.0,10.299,2.913
2020,1,Chaco,308.0,928.0,23.291,19.976,29.851,10.416,28.539,2.594
2020,1,Chubut,158.0,109.0,69.586,12.957,7.756,1.24,614,712.0
2020,1,Córdoba,142.0,5.128,217.229,120.188,95.827,65.733,296.875,2.939
2020,1,Corrientes,72.0,527.0,33.479,21.382,26.679,7.351,19.467,2.054
2020,1,Entre Ríos,130.0,4.081,72.280,47.132,41.125,11.988,39.794,1.903
2020,1,Formosa,1.127,342.0,23.761,6.5,6.564,964.0,6.918,1.57
